Procuring Entity (PE),Region,Province,City/Municipality,Government Branch,PE Organization Type,PE Organization Type (Grouped),Bid Reference No.,Notice Title,Classification,Procurement Mode,Business Category,Funding Source,Funding Instrument,Trade Agreement,Approved Budget of the Contract,Published Date,Closing Date,Area of Delivery,Contract Duration,Calendar Type,Line Item No,Item Name,Item Description,Quantity,UOM,Item Budget,Bid Notice Status,Award Reference No.,Award Title,UNSPSC Code,UNSPSC Description,Published Date(Award),Award Date,Contract Amount,Award Notice Status,Notice to Proceed Date,Contract Effectivity Date,Contract End Date,Awardee Organization Name,Country of Awardee,Region of Awardee,Province of Awardee,City/Municipality of Awardee,Awardee Size,Awardee Joint Venture
"MUNICIPALITY OF MANKAYAN, BENGUET",CAR,Benguet,Mankayan,Executive,Municipal Government,Local Government Units (LGU),11511679,PROCUREMENT OF OFFICE SUPPLIES,Goods,Negotiated Procurement - Two Failed Biddings (Sec. 53.1),Office Equipment Supplies and Consumables,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,956213.75,22/11/2024,29/11/2024,Benguet,10,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
PROVINCE OF MISAMIS ORIENTAL,Region X,Misamis Oriental,Cagayan De Oro City,Executive,Provincial Government,Local Government Units (LGU),11396949,PROCUREMENT OF MEALS UNDER PURCHASE REQUEST NO. 2444-24,Goods,Negotiated Procurement - Two Failed Biddings (Sec. 53.1),Catering Services,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,1749020.00,24/10/2024,31/10/2024,NULL,7,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
PHILIPPINE COAST GUARD,NCR,Metro Manila,Manila,Executive,Government Owned and/or Controlled Corp.(GOCC),Government Owned and Controlled Corporations (GOCC),11522156,ONE (1) YEAR SUBSCRIPTION OF NATIONAL DATA CENTER FOR LONG RANGE IDENTIFICATION AND TRACKING (LRIT) SYSTEM,Goods,Negotiated Procurement - Two Failed Biddings (Sec. 53.1),Telecommunications Provider,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,2787281.01,25/11/2024,16/12/2024,Metro Manila,30,Day/s,1,ONE (1) YEAR SUBSCRIPTION OF NATIONAL DATA CENTER,SEE ATTACHMENT,1,Lot,2787281.01,Awarded,5305486,ONE (1) YEAR SUBSCRIPTION OF NATIONAL DATA CENTER,43000000,Information Technology Broadcasting and Telecommunications,16/01/2025,27/12/2024,2787267.84,Updated,19/02/2025,19/02/2025,21/03/2025,AWA MARINE INC.,Philippines,NCR,Metro Manila,Makati City,Micro,NULL
"MUNICIPALITY OF SAN JOSE, DINAGAT ISLANDS",Caraga,Dinagat Islands,San Jose,Executive,Municipal Government,Local Government Units (LGU),11621827,"Purchase of Wooden Cabinet, Office Table and Chairs, etc",Goods,Negotiated Procurement - Two Failed Biddings (Sec. 53.1),Office Equipment,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,163000.00,19/12/2024,26/12/2024,Dinagat Islands,15,Day/s,1,Purchase,"Purchase of Wooden Cabinet, Office Table and Chairs, etc",1,Lump Sum,163000.00,Awarded,5323928,Purchase,56000000,Furniture and Furnishings,23/01/2025,27/12/2024,163000.00,Updated,27/12/2024,03/01/2025,18/01/2025,DINAGATNON MULTI-PURPOSE COOPERATIVE,Philippines,Caraga,Dinagat Islands,San Jose,Micro,NULL
"BARANGAY MABUHAY - PILAR, SURIGAO DEL NORTE	",Caraga,Surigao Del Norte,Pilar,Executive,Barangay,Local Government Units (LGU),11307289,Concreting of  Pathway,Goods,Negotiated Procurement - Two Failed Biddings (Sec. 53.1),Construction Materials and Supplies,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,140000.00,02/10/2024,07/10/2024,Surigao Del Norte,30,Day/s,4,C.W.N, 2,3,Kilo,300.00,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
PHILIPPINE RUBBER RESEARCH INSTITUTE,Region IX,Zamboanga Sibugay,Ipil,Executive,Bureau,National Government Agencies (NGA),11559400,Construction Supplies & Materials,Goods,Negotiated Procurement - Two Failed Biddings (Sec. 53.1),Construction Materials and Supplies,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,190526.25,03/12/2024,06/12/2024,NULL,40,Day/s,24,2x 2 x 10' Coco Lumber,2x 2 x 10' Coco Lumber,20,Piece,112.55,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"MUNICIPALITY OF PILAR, BATAAN",Region III,Bataan,Pilar,Executive,Municipal Government,Local Government Units (LGU),11567756,Preparation and decorations for Annual Cultural Activity of LGU Pilar on December,Goods,Negotiated Procurement - Two Failed Biddings (Sec. 53.1),Events Management,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,1500000.00,04/12/2024,09/12/2024,Bataan,5,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CITY OF BAYAWAN, NEGROS ORIENTAL",Negros Island Region,Negros Oriental,Bayawan City,Executive,City Government,Local Government Units (LGU),11371086,Delivery of Feeds for Livestock Dispersal & Livelihood Support Program. (ITB-24-274),Goods,International Competitive Bidding,Animal Feeds,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,1378200.00,17/10/2024,07/11/2024,Negros Oriental,30,Day/s,1,ITB-24-274,Delivery of Feeds for Livestock Dispersal & Livelihood Support Program.,1,Lot,1378200.00,Awarded,5268605,ITB-24-274,10120000,Animal feed,27/12/2024,10/12/2024,1288320.00,Updated,11/12/2024,20/12/2024,21/01/2025,NEGROS CV FREEDOM MARKETING INCORPORATED,Philippines,Negros Island Region,Negros Occidental,Bacolod City,Micro,NULL
WESTERN VISAYAS SANITARIUM - DOH,Region VI,Iloilo,Sta. Barbara,Executive,Hospital,National Government Agencies (NGA),11603109,"Supply, Delivery and Installation of Various Hospital Equipment",Goods,International Competitive Bidding,Hospital / Medical Equipment,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,36665000.00,12/12/2024,17/01/2025,Iloilo,90,Day/s,17,ELECTROCARDIOGRAPHY MACHINE (ECG),Please see attached ITB for complete specifications,4,Unit,200000.00,Cancelled,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NAYON ELEMENTARY SCHOOL - TANAY, RIZAL",Region IV-A,Rizal,Tanay,Executive,Elementary,National Government Agencies (NGA),11555974,hardware supplies,Goods,International Competitive Bidding,Hardware and Construction Supplies,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,20000.00,02/12/2024,09/12/2024,Rizal,3,Day/s,3,floor scuber,floor scruber with long handle,8,Piece,1600.00,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
PROVINCE OF DAVAO ORIENTAL,Region XI,Davao Oriental,Mati,Executive,Provincial Government,Local Government Units (LGU),11609961,"Procurement of 1 Unit BRAND NEW DREDGING MACHINE -  LONG REACH AMPHIBIOUS EXCAVATOR for the Use of Provincial Engineer's Office, intended for dredging and desilting of rivers province wide",Goods,International Competitive Bidding,Vehicles,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,35000000.00,16/12/2024,09/01/2025,Davao Oriental,90,Day/s,1,Vehicles,BRAND NEW DREDGING MACHINE,1,Unit,35000000.00,Awarded,5347957,Vehicles,60124509,Vehicle sets,04/02/2025,22/01/2025,34988000.00,Posted,NULL,NULL,NULL,CLEC TRADING,Philippines,Region XI,Davao Del Sur,Davao City,Micro,NULL
"BARANGAY KRUS NA LIGAS, QUEZON CITY",NCR,Metro Manila,Quezon City,Executive,Barangay,Local Government Units (LGU),11467473,Provision of Food and Drinks for Registration and General Assembly of Solo Parents and Orientation on Anti-Online Sexual Abuse and Exploitation,Goods,International Competitive Bidding,Packed Food Distributor,Others,Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,150000.00,13/11/2024,22/11/2024,Metro Manila,30,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,Cancelled,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DEPARTMENT OF EDUCATION,NCR,Metro Manila,Pasig City,Executive,Department,National Government Agencies (NGA),11623556,A 6-month contract for the Behavioral Advocacy Expert of TEACEP (Repost),Consulting Services,International Competitive Bidding,Consulting Services,World Bank (WB),General Appropriations Act,WB Procurement Guidelines,0.00,19/12/2024,02/01/2025,Philippines,6,Month/s,NULL,NULL,NULL,NULL,NULL,NULL,Failed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
WESTERN VISAYAS SANITARIUM - DOH,Region VI,Iloilo,Sta. Barbara,Executive,Hospital,National Government Agencies (NGA),11603109,"Supply, Delivery and Installation of Various Hospital Equipment",Goods,International Competitive Bidding,Hospital / Medical Equipment,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,36665000.00,12/12/2024,17/01/2025,Iloilo,90,Day/s,23,OPERATING ROOM LIGHTS,Please see attached ITB for complete specifications,1,Unit,2500000.00,Cancelled,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DEPARTMENT OF TRANSPORTATION (DOTR) MAIN,Region III,Pampanga,Mabalacat City,Executive,Department,National Government Agencies (NGA),11503858,Consulting Services for the Philippines Transportation System Master Plan (PTSMP),Consulting Services,International Competitive Bidding,Consulting Services,Others,Loans / Grants,Others,702468000.00,20/11/2024,10/01/2025,NULL,30,Month/s,NULL,NULL,NULL,NULL,NULL,NULL,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DEPARTMENT OF EDUCATION - REGION IV-A (CALABARZON),Region IV-A,Rizal,Cainta,Executive,Attached Agency,National Government Agencies (NGA),11370395,Procurement of Supply and Delivery of Tablets for Alternative Learning System (ALS) Learners – Lot 1 and Alternative Delivery Mode (ADM) Learners – Lot 2 for DepEd Region IV-A CALABARZON (ROIVA-24-09),Goods,International Competitive Bidding,Information Technology,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,52530000.00,17/10/2024,06/11/2024,NULL,0,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,Cancelled,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
SOCCSKSARGEN DRUG ABUSE TREATMENT AND REHABILITATION CENTER ,Region XII,Sarangani,Alabel,Executive,Department,National Government Agencies (NGA),11472038,Food Supplies - non perishable (Jan.-June 2025),Goods,International Competitive Bidding,Food Stuff,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,1165706.00,14/11/2024,03/12/2024,Sarangani,180,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"MUNICIPALITY OF MARAGONDON, CAVITE",Region IV-A,Cavite,Maragondon,Executive,Municipal Government,Local Government Units (LGU),11374130,Purchase of Supplemental hauling services for use of the Office of the Mayor-MENRO Office for the Solid Waste Management of the Municipality,Goods,Limited Source Bidding (Sec. 49),Waste Management and Recycling,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,1782000.00,18/10/2024,22/10/2024,Cavite,30,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BANGKO SENTRAL NG PILIPINAS,NCR,Metro Manila,Manila,Executive,Government Owned and/or Controlled Corp.(GOCC),Government Owned and Controlled Corporations (GOCC),11349009,Supply and Delivery of New Generation Currency (NGC) Outsourced Finished Banknotes with Enhanced Security Features and Tactile Marks,Goods,Limited Source Bidding (Sec. 49),Printing Services,Government of the Philippines (GOP),Corporate Budget for the Contract Approved by the Board,Implementing Rules and Regulations,7379635997.12,11/10/2024,14/11/2024,NULL,2,Year/s,1,Enhanced NGC Outsourced Finished Banknotes,"1000-Piso, as per BSP Terms of Reference and Technical Specifications",600000,Bundle,3529711188.96,Awarded,5322347,Enhanced NGC Outsourced Finished Banknotes,82121509,Security or financial instruments printing,23/01/2025,22/01/2025,3234248923.12,Updated,06/02/2025,10/10/2025,25/04/2026,CRANE AB,Sweden,NULL,NULL,NULL,Medium,NULL
"MUNICIPALITY OF MARAGONDON, CAVITE",Region IV-A,Cavite,Maragondon,Executive,Municipal Government,Local Government Units (LGU),11390733,Seminar Package for 2-Days and 1 Night Good for 70 PAx on the Training and Fortmulation LYDP and CBYDP Cum Empowering Youth Resilience Leadership and Gender Inclusive Approaches and Disaster Managem,Goods,Limited Source Bidding (Sec. 49),Events Management,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,280000.00,23/10/2024,29/10/2024,Cavite,7,Day/s,1,ALPROPS MANAGEMENT AND REALITY INC.,"PAYMENT FOR THE COST OF MEALS, VENUE & ROOM ACCOMMODATION DURING THE TRAINING AND FORMULATION LYDP AND CBYDP CUM  EMPOWERING YOUTH RESILIENCE  LEADERSHIP AND GENDER INCLUSIVE APPROACHES TO DISASTER MANAGEMENT LAST NOVEMBER 21-22,2024 AT MONTE VISTA",1,Package,280000.00,Awarded,5230893,ALPROPS MANAGEMENT AND REALITY INC.,80141607,Events management,10/12/2024,30/10/2024,280000.00,Updated,04/11/2024,05/11/2024,13/12/2024,ALPROPS MANAGEMENT AND REALTY INC. ,Philippines,NCR,Metro Manila,Makati City,Micro,NULL
BARANGAY SUNDO-AN - MANJUYOD NEGROS ORIENTAL,Negros Island Region,Negros Oriental,Manjuyod,Executive,Barangay,Local Government Units (LGU),11341216,PURCHASE OF GOODS,Goods,Limited Source Bidding (Sec. 49),Water Service Connection Materials/Fittings,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,60000.00,10/10/2024,18/10/2024,Negros Oriental,10,Day/s,1,Polyethylene Pipe,Polyethylene Pipe,12,Roll,60000.00,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BANGKO SENTRAL NG PILIPINAS,NCR,Metro Manila,Manila,Executive,Government Owned and/or Controlled Corp.(GOCC),Government Owned and Controlled Corporations (GOCC),11349009,Supply and Delivery of New Generation Currency (NGC) Outsourced Finished Banknotes with Enhanced Security Features and Tactile Marks,Goods,Limited Source Bidding (Sec. 49),Printing Services,Government of the Philippines (GOP),Corporate Budget for the Contract Approved by the Board,Implementing Rules and Regulations,7379635997.12,11/10/2024,14/11/2024,NULL,2,Year/s,2,Enhanced NGC Outsourced Finished Banknotes,"500-Piso, as per BSP Terms of Reference and Technical Specifications",530000,Bundle,2314818697.44,Awarded,5322348,Enhanced NGC Outsourced Finished Banknotes,82121509,Security or financial instruments printing,23/01/2025,22/01/2025,1812940925.81,Updated,06/02/2025,25/10/2025,14/03/2026,GIESECKE+DEVRIENT CURRENCY TECHNOLOGY GMBH,Germany,NULL,NULL,NULL,Medium,NULL
NATIONAL SECURITY COUNCIL,NCR,Metro Manila,Quezon City,Executive,Department,National Government Agencies (NGA),11428996,AINSOC FIT-OUT,Goods - General Support Services,Limited Source Bidding (Sec. 49),Information Technology Parts & Accessories & Perip,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,61400000.00,05/11/2024,25/11/2024,Metro Manila,240,Day/s,1,AINSOC Fit-out,Please refer to TOR and Bidding Documents,1,Lot,61400000.00,Awarded,5301964,AINSOC Fit-out,43232801,Network monitoring software,13/02/2025,19/12/2024,61000000.00,Updated,26/12/2024,27/12/2024,24/08/2025,LBPASCUAL INFORMATION TECHNOLOGY SOLUTIONS,Philippines,NCR,Metro Manila,Makati City,Large,NULL
"MUNICIPALITY OF MARAGONDON, CAVITE",Region IV-A,Cavite,Maragondon,Executive,Municipal Government,Local Government Units (LGU),11501357,"Room Accommodation, Meals and Venue for Understanding  Gender Mainstreaming and It's Relationship to MCW on December 10-12, 2024 at Aureo La Union",Goods,Limited Source Bidding (Sec. 49),Events Management,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,481600.00,20/11/2024,25/11/2024,Cavite,3,Day/s,1,AUREO HOTEL LA UNION,"ROOM ACCOMMODATION,MEALS AND VENUE FOR THE SEMINAR ON UNDERSTANDING GENDER MAINSTREAMING AND ITS RELATIONSHIP TO MCW",1,Package,481600.00,Awarded,5553529,AUREO HOTEL LA UNION,80141607,Events management,27/05/2025,28/11/2024,481600.00,Updated,29/11/2024,30/11/2024,30/05/2025,FERENZO HOLDING & DEVELOPMENT CORPORATION,Philippines,Region I,La Union,San Fernando City,NULL,NULL
BARANGAY SUNDO-AN - MANJUYOD NEGROS ORIENTAL,Negros Island Region,Negros Oriental,Manjuyod,Executive,Barangay,Local Government Units (LGU),11341442,PURCHASE OF GOODS,Goods,Limited Source Bidding (Sec. 49),Electrical Supplies,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,60000.00,10/10/2024,18/10/2024,Negros Oriental,10,Day/s,1,Service Drop Wire,Service Drop Wire,4,Roll,60000.00,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BARANGAY SUNDO-AN - MANJUYOD NEGROS ORIENTAL,Negros Island Region,Negros Oriental,Manjuyod,Executive,Barangay,Local Government Units (LGU),11559831,CONSTRUCTION OF CONCRETE DRAINAGE,Goods,Limited Source Bidding (Sec. 49),Construction Materials and Supplies,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,80421.00,03/12/2024,11/12/2024,Negros Oriental,10,Day/s,1,Construction Materials,Construction Materials,1,Lot,52070.00,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"MUNICIPALITY OF MARAGONDON, CAVITE",Region IV-A,Cavite,Maragondon,Executive,Municipal Government,Local Government Units (LGU),11370121,Purchase of supplemental hauling services for use of the Office of the Mayor-MENRO Office for Solid Waste Management of the Municipality,Goods,Limited Source Bidding (Sec. 49),Waste Management and Recycling,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,1782000.00,17/10/2024,24/10/2024,Cavite,30,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,Cancelled,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"MUNICIPALITY OF CUYAPO, NUEVA ECIJA",Region III,Nueva Ecija,Cuyapo,Executive,Municipal Government,Local Government Units (LGU),11395008,PURCHASE OF MICRONUTRIENT POWDER,Goods,Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),Food Stuff,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,199152.00,23/10/2024,28/10/2024,Nueva Ecija,10,Day/s,1,Purchase of Micronutrient Powder,"Municipality of Cuyapo, Nueva Ecija",1,Lot,199152.00,Awarded,5168338,Purchase of Micronutrient Powder,50000000,Food Beverage and Tobacco Products,11/11/2024,30/10/2024,190854.00,Updated,31/10/2024,31/10/2024,10/11/2024,PHILIPPINE NUTRI-FOODS CORPORATION,Philippines,NCR,Metro Manila,Muntinlupa City,Large,NULL
BATANGAS STATE UNIVERSITY,Region IV-A,Batangas,Batangas City,Executive,State Universities or Colleges (SUC),State Universities and Colleges (SUC),11583568,Procurement of Supplies and Materials for Sinag Project to Create and Ultraviolet photolithography,Goods,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Electronic Parts and Components,Government of the Philippines (GOP),Corporate Budget for the Contract Approved by the Board,Implementing Rules and Regulations,118925.00,07/12/2024,11/12/2024,Batangas,30,Day/s,4,Acrylic Sheet,5mm Acrylic Sheet; Dimension 6mm x 1220mm x 2440mm (Or at least 6mmx1000mmx1500mm),1,Piece,9750.00,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DEPARTMENT OF SOCIAL WELFARE AND DEVELOPMENT - REGION XI,Region XI,Davao Del Sur,Davao City,Executive,Department,National Government Agencies (NGA),11508106,To provide vehicle rental for KALAHI CIDSS staff transportation Conduct of Physical-Technical Evaluation of Completed Community Infrastructure Sub-projects,Goods - General Support Services,Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),Transportation and Communications Services,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,55050.00,21/11/2024,25/11/2024,Davao Del Norte,6,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BARANGAY MAYBUNGA - PASIG CITY,NCR,Metro Manila,Pasig City,Executive,Barangay,Local Government Units (LGU),11461471,PURCHASE OF GROCERY ITEMS FOR ALAY PASASALAMAT OF PERSON'S WITH DISABILITY,Goods,Public Bidding,Food Stuff,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,115000.00,12/11/2024,19/11/2024,Metro Manila,5,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"SANGGUNIANG BARANGAY OF ILAYA, DAPITAN CITY",Region IX,Zamboanga Del Norte,Sibutad,Executive,Barangay,Local Government Units (LGU),11497747,MATERIALS FOR INSTALLATION OF TILES FOR NEW SENIOR CITIZENS ASSOCIATION OFFICE,Civil Works,Public Bidding,Construction Materials and Supplies,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,59792.00,19/11/2024,26/11/2024,Zamboanga Del Norte,7,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,Cancelled,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"DEPARTMENT OF EDUCATION REGIONAL OFFICE V - LEGAZPI CITY, AL",Region V,Albay,Legazpi City,Executive,Department,National Government Agencies (NGA),11360145,"GOODS-2024-13 Supply and Door to Door Delivery of School Furniture for Elementary, Junior and Senior High Schools under the Basic Educational Facilities Fund (BEFF) School Furniture Program CY 2023 (7",Goods,Public Bidding,Furniture,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,41427700.00,15/10/2024,26/11/2024,Albay,120,Day/s,1,GOODS-2024-13 Supply and Door to Door Delivery of,"Supply and Door to Door Delivery of School Furniture for Elementary, Junior and Senior High Schools under the Basic Educational Facilities Fund (BEFF) School Furniture Program CY 2023",1,Lot,41427700.00,Awarded,5350689,GOODS-2024-13 Supply and Door to Door Delivery of,56000000,Furniture and Furnishings,05/02/2025,26/12/2024,35494000.00,Updated,26/12/2024,27/12/2024,26/04/2025,EMPRESA PRESTINE CORP.,Philippines,NCR,Metro Manila,Valenzuela City,Micro,NULL
PHILIPPINE AIR FORCE,NCR,Metro Manila,Pasay City,Executive,Department,National Government Agencies (NGA),11344327,Spares for the Repair and Maintenance of Avionics System of AW-109AH Aircraft,Goods,Public Bidding,Aircraft Spare Parts,Government of the Philippines (GOP),National Expenditure Program (NEP) for the suceeding year - Single Year,Implementing Rules and Regulations,101500000.00,10/10/2024,29/10/2024,NULL,0,Day/s,1,PB-PAFBAC-040-25,Procurement of Spares for the Repair and Maintenance of Avionics System of AW-109AH Aircraft,1,Lot,101500000.00,Awarded,5307436,PB-PAFBAC-040-25,25130000,Aircraft,16/01/2025,03/01/2025,49338888.00,Updated,30/01/2025,30/01/2025,26/11/2025,"AEROMART WORLDWIDE, INC.",Philippines,Region III,Pampanga,Angeles City,Large,NULL
CORAZON LOCSIN MONTELIBANO MEMORIAL REGIONAL HOSPITAL-DOH R6,Region VI,Negros Occidental,Bacolod City,Executive,Hospital,National Government Agencies (NGA),11418505,Laboratory Supplies and Reagents (Clinical Chemistry) (P.R. 2024-07-0856),Goods,Public Bidding,Laboratory Supplies and Equipment,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,3758900.00,31/10/2024,21/11/2024,Negros Occidental,20,Day/s,18,CHOLESTEROL REAGENTS AND CONSUMABLES 3600 tests,CHOLESTEROL REAGENTS AND CONSUMABLES 3600 tests,3,Box,99000.00,Awarded,5454471,CHOLESTEROL REAGENTS AND CONSUMABLES 3600 tests,41000000,Laboratory and Measuring and Observing and Testing Equipment,27/03/2025,31/01/2025,54000.00,Updated,10/03/2025,10/03/2025,29/03/2025,BIOSITE MEDICAL INSTRUMENTS,Philippines,Region XI,Davao Del Sur,Davao City,Micro,NULL
"CITY OF CEBU, CEBU",Region VII,Cebu,Cebu City,Executive,City Government,Local Government Units (LGU),11553517,"Procurement of Medical Supplies, 1 Lot. REBID",Goods,Public Bidding,Medical Supplies and Laboratory Instrument,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,504410.00,02/12/2024,10/12/2024,Cebu,0,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CITY OF OZAMIS, MISAMIS OCCIDENTAL",Region X,Misamis Occidental,Ozamiz City,Executive,City Government,Local Government Units (LGU),11347807,"JOB ORDER 1,000 BUSINESS PLATES FOR THE USE OF TAXPAYERS RENEWED THEIR BUSINESS PERMIT",Goods,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Printing Services,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,85000.00,11/10/2024,15/10/2024,Misamis Occidental,30,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
